true_stress	true_strain
94009104	0.04120385274291039
94091664	0.04130230098962784
94100928	0.04140074178576469
94110192	0.04149917140603065
94339552	0.04159759357571602
94422160	0.04169600456953049
94504936	0.04179440438747406
94514232	0.04189280048012733
94596880	0.04199117794632912
94606184	0.0420895554125309
94762200	0.04218791425228119
94771520	0.04228626564145088
94707472	0.04238461330533028
94423112	0.04248294606804848
94873032	0.04258127138018608
94955752	0.04267958551645279
94965088	0.0427778884768486
94901016	0.04287618771195412
95130592	0.04297446832060814
95066520	0.04307274892926216
94929000	0.04317101091146469
95305672	0.04326926544308662
95241584	0.04336751624941826
95544912	0.0434657521545887
95701216	0.04356398433446884
95710616	0.04366219788789749
95720016	0.04376040399074554
95729416	0.0438586063683033
95885952	0.04395679384469986
96116008	0.04405497759580612
96125440	0.04415314272046089
96134880	0.04425130411982536
96217824	0.04434945434331894
96374480	0.04444759711623192
96531000	0.044545728713274
96687696	0.04464384913444519
96770736	0.04474196210503578
96485856	0.04484006389975548
96789728	0.04493815824389458
97020080	0.04503624141216278
97103168	0.04513431340456009
97333592	0.0452323742210865
97269544	0.04533043131232262
97426272	0.04542847722768784
97509584	0.04552651196718216
97519144	0.04562453553080559
97528704	0.04572255164384842
97685520	0.04582056030631065
97768728	0.04591855406761169
97852096	0.04601654037833214
97493136	0.04611451923847198
97871272	0.04621248692274094
98028184	0.04631044715642929
97669280	0.04640839248895645
98121216	0.04650633409619331
98130824	0.04660426080226898
97992904	0.04670218005776405
98150040	0.04680009186267853
97790824	0.04689799249172211
98316696	0.04699588567018509
98473912	0.04709376394748688
98188480	0.04719163477420807
98345568	0.04728950187563896
98576568	0.04738735035061836
98733864	0.04748519882559776
98891032	0.04758302867412567
98457816	0.04768085107207298
98910376	0.04777866974473
98993840	0.04787646979093552
99151240	0.04797426983714104
99308672	0.04807205498218536
99318384	0.0481698289513588
99401896	0.04826759919524193
99485440	0.04836535081267357
99568984	0.04846310243010521
99726528	0.04856083914637566
99810104	0.04865856841206551
99967696	0.04875628650188446
99977464	0.04885399714112282
100134944	0.04895169660449028
100292608	0.04904938861727715
100376288	0.04914706200361252
100459968	0.04924474284052849
100543816	0.04934239760041237
100627536	0.04944005608558655
100637360	0.04953769221901894
100721088	0.04963532835245132
100065384	0.04973294958472252
100740760	0.04983056709170341
100972528	0.04992816969752312
100612544	0.05002576485276222
100992240	0.05012335255742073
100558080	0.05022092908620834
101011952	0.05031849071383476
101169896	0.05041605234146118
101253728	0.05051359534263611
101189632	0.05061113089323044
101125352	0.05070866271853447
101283360	0.05080617964267731
101367232	0.05090368911623955
101451288	0.05100119113922119
101461176	0.05109868198633194
101396888	0.05119616165757179
101629016	0.05129363387823105
101935232	0.05139109864830971
101871112	0.05148854851722717
101955104	0.05158598721027374
101965032	0.05168342217803001
102197320	0.05178084596991539
102281352	0.05187825858592987
102365552	0.05197566375136375
102301272	0.05207306146621704
102385496	0.05217044800519943
102692024	0.05226782336831093
102776128	0.05236519128084183
102860248	0.05246254801750183
102870264	0.05255989357829094
102954568	0.05265723541378975
103112872	0.05275456234812737
103345496	0.05285188555717468
103429704	0.05294919013977051
103439768	0.05304649099707603
103524152	0.05314378440380096
103608400	0.053241066634655
103766840	0.05333833768963814
103851280	0.05343560129404068
103861384	0.05353284999728203
103945680	0.05363009870052338
103955792	0.05372732877731323
104040112	0.05382455885410309
104198832	0.05392177030444145
104208960	0.05401897802948952
104293328	0.05411617457866669
104229224	0.05421335995197296
104387864	0.05431053787469864
104398008	0.05440770834684372
104408152	0.0545048676431179
104492720	0.05460201576352119
104428440	0.05469915270805359
104587312	0.05479628965258598
104671768	0.05489340424537659
104533320	0.05499051511287689
104617784	0.0550876185297966
104776736	0.05518471077084541
105009888	0.05528179556131363
105020080	0.05537886917591095
105104776	0.05547593533992767
104966128	0.0555729903280735
105199536	0.05567003786563873
105507344	0.05576707422733307
105591944	0.05586409941315651
105453440	0.05596111342310905
105538056	0.0560581274330616
105697232	0.05615511909127235
105856288	0.05625211074948311
105940952	0.05634909123182297
106025784	0.05644606053829193
106036072	0.0565430223941803
106195208	0.05663997307419777
106354528	0.05673691630363464
106439280	0.05683385208249092
106524040	0.05693076923489571
106683432	0.05702769011259079
106693776	0.05712458863854408
106778584	0.05722149088978767
106938040	0.05731837078928947
106948400	0.05741524696350098
107033248	0.05751211568713188
107192768	0.05760897323489189
107203152	0.05770581960678101
107288048	0.05780266225337982
107298432	0.05789948627352715
107308824	0.05799631029367447
107393760	0.0580931156873703
107553384	0.05818992480635643
107563792	0.05828671157360077
107574208	0.05838349461555481
107584616	0.05848026648163795
107669608	0.0585770308971405
107754600	0.05867378786206245
107839776	0.05877053365111351
107700864	0.05886726826429367
107636672	0.05896399542689323
107871072	0.0590607151389122
108030728	0.05915742367506027
108041176	0.05925411731004715
108051616	0.05935080349445343
107838000	0.05944748595356941
108296600	0.0595441572368145
108456528	0.05964081734418869
108541664	0.05973747000098228
108477496	0.05983411148190498
108637328	0.05993074551224709
108722504	0.06002736836671829
108807840	0.0601239837706089
108967744	0.06022059172391891
108903576	0.06031718105077744
108988800	0.06041377410292625
109223624	0.06051034480333328
109383776	0.06060691177845001
109394344	0.06070347130298615
109479640	0.06080002337694168
109490208	0.06089656054973602
109650440	0.06099309399724007
109885304	0.06108961254358292
109895912	0.06118612736463547
109906512	0.06128262355923653
110066832	0.06137912347912788
110152248	0.06147560104727745
110237816	0.06157208234071732
110398064	0.06166854128241539
110408712	0.06176500022411346
110419360	0.06186144426465034
110430008	0.06195788457989693
110590480	0.06205431371927261
110675976	0.0621507316827774
110686648	0.062247134745121
110772168	0.0623435415327549
110633128	0.062439925968647
110868552	0.06253631412982941
110879240	0.06263267993927002
110889920	0.06272904574871063
110975496	0.06282539665699005
110986184	0.06292174756526947
110996880	0.0630180835723877
111157384	0.06311440467834473
110943352	0.06321072578430176
110954032	0.0633070319890976
111339528	0.06340333074331284
111500136	0.06349962204694748
111510872	0.06359589099884033
111446656	0.06369216740131378
111382416	0.06378842890262604
111618192	0.0638846829533577
112003976	0.06398092210292816
112014752	0.06407715380191803
111875552	0.0641733780503273
111961320	0.06426958739757538
112047096	0.06436579674482346
112283064	0.06446199864149094
112519072	0.06455818563699722
112454872	0.06465435773134232
112390496	0.06475052237510681
112626576	0.06484668701887131
112712464	0.06494283676147461
112873560	0.06503897905349731
113034688	0.06513510644435883
113045560	0.06523122638463974
113131496	0.06532734632492065
113217464	0.06542344391345978
113303432	0.0655195415019989
113389576	0.06561562418937683
113550672	0.06571169942617416
113636856	0.0658077746629715
113647776	0.06590382754802704
113733816	0.06599987298250198
113669608	0.06609591096639633
113830800	0.06619194149971008
113992192	0.06628797203302383
114078288	0.0663839727640152
114014080	0.06647998094558716
114025024	0.06657597422599792
114111144	0.0666719526052475
114122096	0.06676793098449707
114283440	0.06686389446258545
114294400	0.06695985049009323
114154952	0.06705579161643982
114241128	0.06715173274278641
114252088	0.0672476664185524
114488888	0.0673435851931572
114575096	0.0674394890666008
114435600	0.0675353929400444
114521832	0.06763128191232681
114683472	0.06772717088460922
114920264	0.06782304495573044
114931280	0.06791890412569046
114942296	0.06801475584506989
115028760	0.06811060011386871
115190368	0.06820644438266754
115352160	0.06830226629972458
115363216	0.06839808821678162
115449584	0.06849389523267746
115535976	0.06858968734741211
115697848	0.06868548691272736
115784272	0.06878127157688141
115870856	0.06887704133987427
115881952	0.06897280365228653
115968408	0.0690685510635376
116130248	0.06916430592536926
116292264	0.06926003843545914
116378776	0.06935576349496841
116389920	0.06945148110389709
116476616	0.06954719126224518
116563160	0.06964288651943207
116649720	0.06973858177661896
116811872	0.06983426213264465
116823048	0.06992992758750916
116909648	0.07002559304237366
116996280	0.07012125104665756
117007472	0.07021689414978027
117018656	0.07031252235174179
117180912	0.07040815055370331
117116504	0.07050376385450363
117203328	0.07059937715530396
117214528	0.07069497555494308
117301232	0.07079056650400162
117312448	0.07088614255189896
117399152	0.0709817111492157
117410376	0.07107727974653244
117497264	0.07117283344268799
117508488	0.07126837223768234
117444032	0.0713639035820961
117379720	0.07145942747592926
117768808	0.07155495136976242
117855768	0.07165045291185379
117942584	0.07174595445394516
117953848	0.07184144109487534
117889536	0.07193691283464432
118127696	0.0720323920249939
118290144	0.07212785631418228
118377040	0.07222330570220947
118388336	0.07231874763965607
